,errobars,ksz_curve,rsep
0,0.053569357647774346,0.04496575291072315,5.0
1,0.04191473533542246,-0.05838322561575691,15.0
2,0.03266961408516899,-0.09552363793258493,25.0
3,0.028314199759741164,-0.09799015949305853,35.0
4,0.02371582645576379,-0.07348259776576228,45.0
5,0.01980510479197774,-0.04898632416081714,55.0
6,0.017966341335927765,-0.05455273633695008,65.0
7,0.01613480628947019,-0.060867161874291593,75.0
8,0.01494665994322696,-0.055337048516377337,85.0
9,0.013515752676343393,-0.03069667210382249,95.0
10,0.012013402547127499,-0.007052034737730427,105.0
11,0.011367732960396823,-0.014178704224435122,115.0
12,0.010927372519876029,-0.004285042377846789,125.0
13,0.010124214818153976,-0.013352264889027386,135.0
14,0.009723372659262229,-0.008223337514207197,145.0
15,0.006579018202512904,-0.008703628815462345,175.0
16,0.006357169965866534,0.008048769207236087,225.0
17,0.006653937109422323,0.010997119209578176,282.5
18,0.007275840617270063,0.013563631228634845,355.0
